exec_time,setup_time,goal_reached,scenario,model_name,interference_num,interference_desc,date,real_robot
21.418000000003193,0.8176422119140625,True,tower,rlgs,0,None,202109151009,False
26.501000000009405,0.8038105964660645,True,tower,rlgs,0,None,202109151116,False
33.05100000000755,0.8171141147613525,True,tower,rlgs,0,None,202109151134,True
0.09499999999998954,0.8387551307678223,True,tower,rlgs,0,None,202109151135,True
29.449000000015975,0.8271136283874512,True,tower,rlgs,0,None,202109151137,True
12.401999999997258,0.81557297706604,True,tower,rlgs,0,None,202109151205,True
0.21399999999997643,0.8213779926300049,True,tower,rlgs,0,None,202109151211,True
13.069999999997172,0.823223352432251,True,tower,rlgs,0,None,202109151212,True
25.505000000010835,0.8190464973449707,True,tower,rlgs,0,None,202109151215,True
23.258000000008053,0.8206932544708252,True,tower,rlgs,0,None,202109151218,True
26.845000000012433,0.816718578338623,True,tower,rlgs,0,None,202109151219,True
28.437000000014372,0.8153188228607178,True,tower,rlgs,0,None,202109151222,True
28.418000000014363,0.8224923610687256,True,tower,rlgs,0,None,202109151223,True
33.03800000000904,0.8205628395080566,True,tower,rlgs,0,None,202109151224,True
27.615000000013378,0.8172121047973633,True,tower,rlgs,0,None,202109151234,True
35.343000000003634,1.0798835754394531,True,tower,rlgs,0,None,202109151430,True
0.019999999999997797,1.0262718200683594,True,tower,rlgs,0,None,202109151430,True
29.156000000015304,1.0493557453155518,True,tower,rlgs,0,None,202109151440,True
36.259000000001485,1.0184986591339111,True,tower,rlgs,0,None,202109151537,True
18.193000000001824,0.618549108505249,True,stick,rlgs,0,None,202109151627,True
16.59999999999999,0.5333664417266846,True,stick,rlgs,0,None,202109151650,True
37.97199999999756,0.5041718482971191,True,stick,rlgs,0,None,202109151656,True
0.038999999999995705,0.5016384124755859,True,stick,rlgs,0,None,202109151657,True
28.76800000001219,3.976719617843628,True,stick,rlgs,0,None,202109151757,False
28.782000000012196,3.920229196548462,True,stick,rlgs,0,None,202109151800,False
25.539000000008233,3.3373048305511475,True,stick,rlgs,0,None,202109151917,False
20.993000000005246,0.7343082427978516,True,stick,rlgs,0,None,202109151928,True
34.67200000000519,5.716854810714722,True,stick,rlgs,0,None,202109151929,True
32.63800000000986,4.612263441085815,True,stick,rlgs,0,None,202109151930,True
55.44299999995673,0.9107153415679932,True,stick,rlgs,0,None,202109151932,True
21.263000000005658,0.7702465057373047,True,stick,rlgs,0,None,202109151932,True
28.66800000001475,4.190798044204712,True,stick,rlgs,0,None,202109151933,True
25.74300000001115,4.665738582611084,True,stick,rlgs,0,None,202109151935,True
19.243000000003203,0.7580509185791016,True,stick,rlgs,0,None,202109151935,True
59.81199999994657,5.6215293407440186,True,stick,rlgs,0,None,202109151940,True
32.78300000000968,4.996366739273071,True,stick,rlgs,0,None,202109151945,True
47.85299999997441,5.438553333282471,True,stick,rlgs,0,None,202109151947,True
32.33100000001073,5.788022756576538,True,stick,rlgs,0,None,202109151954,True
16.476999999997165,2.458005905151367,True,hand_over,rlgs,0,None,202109161041,False
16.313999999996966,2.406316041946411,True,hand_over,rlgs,0,None,202109161042,False
45.24099999998525,41.060436725616455,True,hand_over,rlgs,0,None,202109161107,False
45.453999999984745,1.4113380908966064,True,hand_over,rlgs,0,None,202109161109,False
31.663000000015725,6.037229776382446,True,hand_over,rlgs,0,None,202109161216,False
32.37700000001523,6.04736065864563,True,hand_over,rlgs,0,None,202109161220,False
32.004000000016106,6.275332450866699,True,hand_over,rlgs,0,None,202109161221,False
41.5589999999877,5.926300287246704,True,hand_over,rlgs,0,None,202109161223,True
41.604999999989204,6.039093971252441,True,hand_over,rlgs,0,None,202109161224,True
41.879999999988485,1.1956205368041992,True,tower,rlgs,0,None,202109161226,True
43.48899999998327,5.909075736999512,True,hand_over,rlgs,0,None,202109161229,True
39.77899999999344,6.230726718902588,True,hand_over,rlgs,0,None,202109161231,True
40.75499999999117,6.2867207527160645,True,hand_over,rlgs,0,None,202109161232,True
38.00999999999601,6.319041728973389,True,hand_over,rlgs,0,None,202109161234,True
44.947999999981405,6.081277370452881,True,hand_over,rlgs,0,None,202109161236,True
45.266999999980605,5.8808228969573975,True,hand_over,rlgs,0,None,202109161404,True
49.6999999999703,6.399907112121582,True,hand_over,rlgs,0,None,202109161424,True
52.287999999964136,6.290165901184082,True,hand_over,rlgs,0,None,202109161427,True
34.990000000002986,5.846426486968994,True,hand_over,rlgs,0,None,202109161432,True
42.61899999998527,1.2741994857788086,True,tower,rlgs,0,None,202109161445,True
39.22299999999454,6.0872416496276855,True,hand_over,rlgs,0,None,202109161543,True
0.034999999999996145,3.856851816177368,True,hand_over,rlgs,0,None,202109161543,True
0.0589999999999935,8.671855688095093,True,hand_over,rlgs,0,None,202109161550,True
26.769000000013218,10.979425430297852,True,hand_over,rlgs,0,None,202109161600,True
72.92199999999416,6.9605982303619385,True,hand_over,rlgs,0,None,202109161603,True
0.036999999999995925,6.840576410293579,True,hand_over,rlgs,0,None,202109161604,True
90.81100000007953,6.97936487197876,True,hand_over,rlgs,0,None,202109161606,True
31.559000000012446,10.592216491699219,True,hand_over,rlgs,0,None,202109161650,True
32.82300000000811,10.155861377716064,True,hand_over,rlgs,0,None,202109161653,True
36.42000000000117,10.643326044082642,True,hand_over,rlgs,0,None,202109161656,True
0.06099999999999328,6.999643564224243,True,hand_over,rlgs,0,None,202109161701,True
52.662999999963326,6.891810178756714,True,hand_over,rlgs,0,None,202109161703,True
50.5629999999682,7.022296667098999,True,hand_over,rlgs,0,None,202109161708,True
39.53799999999382,1.015044927597046,True,tower,rlgs,0,None,202109191647,True
30.15000000001434,0.9457056522369385,True,tower,rlgs,0,None,202109191707,True
26.88800000001246,0.9857385158538818,True,tower,rlgs,0,None,202109191730,True
0.038999999999995705,0.9157600402832031,True,tower,rlgs,0,None,202109191730,True
30.02900000001608,0.9447963237762451,True,tower,rlgs,0,None,202109191735,True
62.21499999994617,1.0164008140563965,True,tower,rlgs,0,None,202109191737,True
20.93500000000451,0.9157793521881104,True,tower,rlgs,0,None,202109191750,True
35.712000000002696,0.9362454414367676,True,tower,rlgs,0,None,202109191754,True
45.484999999979976,0.9938585758209229,True,tower,rlgs,0,None,202109191755,True
0.022999999999997467,0.900017261505127,True,tower,rlgs,0,None,202109191756,True
35.597000000003035,1.0710363388061523,True,tower,rlgs,0,None,202109191757,True
26.38600000001187,1.046487808227539,True,tower,rlgs,0,None,202109191801,True
39.44599999999403,0.9505279064178467,True,tower,rlgs,0,None,202109191820,True
49.92199999996962,0.9712522029876709,True,tower,rlgs,0,None,202109191821,True
54.219999999959555,1.0126194953918457,True,tower,rlgs,0,None,202109191823,True
46.61599999997728,1.0238966941833496,True,tower,rlgs,0,None,202109191825,True
43.705999999984115,0.9825761318206787,True,tower,rlgs,0,None,202109191825,True
23.33800000000823,0.9960668087005615,True,tower,rlgs,0,None,202109191828,True
0.040999999999995485,0.9166111946105957,True,tower,rlgs,0,None,202109191829,True
55.21299999995727,0.9834551811218262,True,tower,rlgs,0,None,202109191830,True
0.037999999999995815,0.9044768810272217,True,tower,rlgs,0,None,202109191830,True
54.061999999960044,0.9874320030212402,True,tower,rlgs,0,None,202109191831,True
19.73200000000379,0.9394123554229736,True,tower,rlgs,0,None,202109191833,True
88.25900000006732,0.9879164695739746,True,tower,rlgs,0,None,202109191836,True
50.43099999996849,0.9870762825012207,True,tower,rlgs,0,None,202109191838,True
26.58200000001215,0.9570937156677246,True,tower,rlgs,0,None,202109191851,True
28.46900000001443,1.2765178680419922,True,tower,rlgs,0,None,202109192000,True
28.93300000001498,1.2159733772277832,True,tower,rlgs,0,None,202109192001,True
25.78100000001118,1.203909158706665,True,tower,rlgs,0,None,202109192003,True
32.25000000001076,1.2803516387939453,True,tower,rlgs,0,None,202109192004,True
24.788000000009983,1.172379493713379,True,tower,rlgs,0,None,202109192013,True
